Year;MacroZone;Age;Gender;PopRate
2020;1;10-14;Female;0.004
2021;1;10-14;Female;0.010
2022;1;10-14;Female;-0.007
2023;1;10-14;Female;-0.014
2024;1;10-14;Female;-0.023
2025;1;10-14;Female;-0.025
2026;1;10-14;Female;-0.038
2027;1;10-14;Female;-0.026
2028;1;10-14;Female;-0.038
2029;1;10-14;Female;-0.037
2030;1;10-14;Female;-0.047
2020;1;05-09;Female;-0.021
2021;1;05-09;Female;-0.039
2022;1;05-09;Female;-0.027
2023;1;05-09;Female;-0.039
2024;1;05-09;Female;-0.038
2025;1;05-09;Female;-0.049
2026;1;05-09;Female;-0.039
2027;1;05-09;Female;-0.048
2028;1;05-09;Female;-0.035
2029;1;05-09;Female;-0.022
2030;1;05-09;Female;-0.003
2020;1;00-04;Female;-0.043
2021;1;00-04;Female;-0.015
2022;1;00-04;Female;-0.049
2023;1;00-04;Female;-0.035
2024;1;00-04;Female;-0.022
2025;1;00-04;Female;-0.003
2026;1;00-04;Female;0.005
2027;1;00-04;Female;0.018
2028;1;00-04;Female;0.017
2029;1;00-04;Female;0.016
2030;1;00-04;Female;0.014
2020;1;15-19;Female;0.014
2021;1;15-19;Female;0.024
2022;1;15-19;Female;0.007
2023;1;15-19;Female;0.010
2024;1;15-19;Female;0.001
2025;1;15-19;Female;0.003
2026;1;15-19;Female;-0.001
2027;1;15-19;Female;-0.008
2028;1;15-19;Female;-0.014
2029;1;15-19;Female;-0.022
2030;1;15-19;Female;-0.025
2020;1;20-24;Female;0.010
2021;1;20-24;Female;-0.003
2022;1;20-24;Female;0.013
2023;1;20-24;Female;0.007
2024;1;20-24;Female;0.015
2025;1;20-24;Female;0.008
2026;1;20-24;Female;0.005
2027;1;20-24;Female;0.005
2028;1;20-24;Female;0.009
2029;1;20-24;Female;0.002
2030;1;20-24;Female;0.003
2020;1;25-29;Female;-0.010
2021;1;25-29;Female;-0.025
2022;1;25-29;Female;0.000
2023;1;25-29;Female;0.016
2024;1;25-29;Female;0.012
2025;1;25-29;Female;0.016
2026;1;25-29;Female;0.021
2027;1;25-29;Female;0.010
2028;1;25-29;Female;0.006
2029;1;25-29;Female;0.011
2030;1;25-29;Female;0.006
2020;1;30-34;Female;-0.015
2021;1;30-34;Female;-0.024
2022;1;30-34;Female;0.007
2023;1;30-34;Female;-0.003
2024;1;30-34;Female;-0.004
2025;1;30-34;Female;0.002
2026;1;30-34;Female;-0.007
2027;1;30-34;Female;-0.004
2028;1;30-34;Female;0.009
2029;1;30-34;Female;0.009
2030;1;30-34;Female;0.012
2020;1;35-39;Female;-0.030
2021;1;35-39;Female;-0.019
2022;1;35-39;Female;-0.024
2023;1;35-39;Female;-0.025
2024;1;35-39;Female;-0.010
2025;1;35-39;Female;-0.013
2026;1;35-39;Female;-0.004
2027;1;35-39;Female;0.004
2028;1;35-39;Female;-0.002
2029;1;35-39;Female;-0.006
2030;1;35-39;Female;0.000
2020;1;40-44;Female;-0.059
2021;1;40-44;Female;-0.060
2022;1;40-44;Female;-0.052
2023;1;40-44;Female;-0.041
2024;1;40-44;Female;-0.040
2025;1;40-44;Female;-0.033
2026;1;40-44;Female;-0.024
2027;1;40-44;Female;-0.024
2028;1;40-44;Female;-0.025
2029;1;40-44;Female;-0.010
2030;1;40-44;Female;-0.013
2020;1;45-49;Female;-0.005
2021;1;45-49;Female;-0.005
2022;1;45-49;Female;-0.023
2023;1;45-49;Female;-0.030
2024;1;45-49;Female;-0.036
2025;1;45-49;Female;-0.052
2026;1;45-49;Female;-0.056
2027;1;45-49;Female;-0.050
2028;1;45-49;Female;-0.041
2029;1;45-49;Female;-0.039
2030;1;45-49;Female;-0.031
2020;1;50-54;Female;0.007
2021;1;50-54;Female;-0.006
2022;1;50-54;Female;-0.002
2023;1;50-54;Female;-0.004
2024;1;50-54;Female;-0.008
2025;1;50-54;Female;-0.012
2026;1;50-54;Female;-0.010
2027;1;50-54;Female;-0.024
2028;1;50-54;Female;-0.030
2029;1;50-54;Female;-0.036
2030;1;50-54;Female;-0.051
2020;1;55-59;Female;0.036
2021;1;55-59;Female;0.022
2022;1;55-59;Female;0.018
2023;1;55-59;Female;0.014
2024;1;55-59;Female;0.010
2025;1;55-59;Female;0.004
2026;1;55-59;Female;-0.003
2027;1;55-59;Female;-0.003
2028;1;55-59;Female;-0.005
2029;1;55-59;Female;-0.009
2030;1;55-59;Female;-0.012
2020;1;60-64;Female;0.005
2021;1;60-64;Female;-0.002
2022;1;60-64;Female;0.017
2023;1;60-64;Female;0.018
2024;1;60-64;Female;0.020
2025;1;60-64;Female;0.031
2026;1;60-64;Female;0.024
2027;1;60-64;Female;0.018
2028;1;60-64;Female;0.014
2029;1;60-64;Female;0.010
2030;1;60-64;Female;0.004
2020;1;65-69;Female;0.009
2021;1;65-69;Female;-0.005
2022;1;65-69;Female;0.013
2023;1;65-69;Female;0.016
2024;1;65-69;Female;0.019
2025;1;65-69;Female;0.011
2026;1;65-69;Female;0.017
2027;1;65-69;Female;0.018
2028;1;65-69;Female;0.019
2029;1;65-69;Female;0.020
2030;1;65-69;Female;0.032
2020;1;70-74;Female;0.020
2021;1;70-74;Female;0.049
2022;1;70-74;Female;-0.007
2023;1;70-74;Female;-0.016
2024;1;70-74;Female;-0.025
2025;1;70-74;Female;-0.006
2026;1;70-74;Female;0.001
2027;1;70-74;Female;0.013
2028;1;70-74;Female;0.016
2029;1;70-74;Female;0.019
2030;1;70-74;Female;0.011
