LINK_NO;FROMNODENO;TONODENO;TYPENO;NAME;LENGTH;FLOWVOL_CAR_Low_Emission_PH;FLOWVOL_CAR_Not_Low_Emission_PH;FLOWVOL_CAR_Low_Emission_OP;FLOWVOL_CAR_Not_Low_Emission_OP;SPEED_Car_PH;SPEED_Car_OP;FLOWVOL_BUS_PH;FLOWVOL_BUS_OP;Speed_Bus_PH;SPEED_BUS_OP;
9;15;59202;50;Tertiary_1_lane;0.081;93.75;96.3;93.05;74.74;19.19;20;6;2;19;20;1
9;59202;15;50;Tertiary_1_lane;0.081;0;0;0;0;0;0;0;0;19.55;19.55;1
10;59197;59202;50;Tertiary_1_lane;0.113;0;0;0;0;0;0;0;0;20.29;20.29;1
10;59202;59197;50;Tertiary_1_lane;0.113;93.75;96.3;93.05;74.74;19.19;20;0;0;19;20;1
11;59197;59198;50;Tertiary_1_lane;0.105;93.75;96.3;93.05;74.74;19.19;20;0;0;19;20;1
11;59198;59197;50;Tertiary_1_lane;0.105;0;0;0;0;0;0;0;0;19.98;19.98;1
12;59198;59206;50;Tertiary_1_lane;0.136;93.75;96.3;93.05;74.74;19.19;20;5;2;19;20;1
12;59206;59198;50;Tertiary_1_lane;0.136;0;0;0;0;0;0;0;0;20.4;20.4;1
13;59194;59206;50;Tertiary_1_lane;0.08;0;0;0;0;0;0;0;0;20.48;20.48;1
13;59206;59194;50;Tertiary_1_lane;0.08;93.75;96.3;93.05;74.74;19.19;20;5;2;19;20;1
14;22092;59194;50;Tertiary_1_lane;0.09;0;0;0;0;0;0;1;0;20.36;20.36;1
14;59194;22092;50;Tertiary_1_lane;0.09;133.44;126.83;133.24;104.8;18.03;18.68;5;2;18;18.68;1
15;16;22092;50;Tertiary_1_lane;0.051;0;0;0;0;0;0;0;0;20.37;20.37;1
15;22092;16;50;Tertiary_1_lane;0.051;80.07;93.23;93.05;34.57;19.49;20.79;5;2;19;20.79;1
16;17;18;70;Residential;0.041;100.15;49.08;46.52;26.76;18.46;21.29;1;1;18;21.19;1
16;18;17;70;Residential;0.041;0;0;0;0;25;25;0;0;24.72;24.72;1
17;19;43943;41;Secondary_2_lanes;0.001;409.91;466.18;209.54;243.5;17.54;20.26;6;2;0;0;1
17;43943;19;41;Secondary_2_lanes;0.001;0;0;0;0;0;0;0;0;0;0;1
18;24829;43943;41;Secondary_2_lanes;0.063;0;0;0;0;0;0;0;0;28.39;28.39;1
18;43943;24829;41;Secondary_2_lanes;0.063;449.01;343.63;207.85;163.91;18.14;21.15;7;2;18;21.15;1
19;24828;24829;41;Secondary_2_lanes;0.151;0;0;0;0;0;0;0;0;30.21;30.21;1
