did,oid,ent,sectionId,laneIndex,xCoord,yCoord,time,speed,travelledDistance,acceleration
462536,1844,1,1456,1,445037.05,210335.33,174.983,62.14,3.75,0.0
462536,1844,2,1456,1,445050.71,210337.33,175.2,62.14,17.56,0.0
462536,1844,3,1456,1,445064.37,210339.34,176.0,62.14,31.37,0.0
462536,1844,4,1456,1,445078.04,210341.34,176.8,62.14,45.17,0.0
462536,1844,5,1456,1,445091.7,210343.34,177.6,62.14,58.98,0.0
462536,1844,6,1456,1,445105.36,210345.34,178.4,62.14,72.79,0.0
462536,1844,7,1456,1,445119.02,210347.34,179.2,62.14,86.6,0.0
462536,1844,8,1456,1,445132.69,210349.34,180.0,62.14,100.41,0.0
462536,1844,9,1456,1,445146.35,210351.34,180.8,62.14,114.22,0.0
462536,1844,10,1456,1,445160.01,210353.35,181.6,62.14,128.03,0.0
462536,1844,11,1456,1,445173.68,210355.35,182.4,62.14,141.84,0.0
462536,1844,12,1456,1,445187.34,210357.35,183.2,62.14,155.64,0.0
462536,1844,13,1456,1,445201.0,210359.35,184.0,62.14,169.45,0.0
462536,1844,14,1456,1,445214.67,210361.35,184.8,62.14,183.26,0.0
462536,1844,15,1456,1,445228.33,210363.35,185.6,62.14,197.07,0.0
462536,1844,16,1456,1,445241.99,210365.35,186.4,62.14,210.88,0.0
462536,1844,17,1456,1,445255.65,210367.36,187.2,62.14,224.69,0.0
462536,1844,18,1456,1,445269.32,210369.36,188.0,62.14,238.5,0.0
462536,1844,19,1456,1,445282.98,210371.36,188.8,62.14,252.31,0.0
462536,1844,20,1456,1,445296.64,210373.36,189.6,62.14,266.12,0.0
462536,1844,21,1456,1,445310.31,210375.36,190.4,62.14,279.92,0.0
462536,1844,22,1456,1,445323.97,210377.36,191.2,62.14,293.73,0.0
462536,1844,23,1456,1,445337.59,210379.61,192.0,62.14,307.54,0.0
462536,1844,24,1456,1,445351.18,210382.09,192.8,62.14,321.35,0.0
462536,1844,25,1456,1,445364.76,210384.57,193.6,62.14,335.16,0.0
462536,1844,26,1456,1,445378.35,210387.05,194.4,62.14,348.97,0.0
462536,1844,27,1456,1,445391.93,210389.52,195.2,62.14,362.78,0.0
