Age,Gasoline_Small_Car,Gasoline_Mid_Car,Gasoline_Large_Car,Diesel_Small_Car,Diesel_Mid_Car,Diesel_Large_Car,HEV_Small_Car,HEV_Mid_Car,HEV_Large_Car,BEV_Small_Car,BEV_Mid_Car,BEV_Large_Car,PHEV_Small_Car,PHEV_Mid_Car,PHEV_Large_Car,LPG_Small_Car,LPG_Mid_Car,LPG_Large_Car,CNG_Small_Car,CNG_Mid_Car,CNG_Large_Car,Diesel_Bus,Gasoline_Bus,CNG_Bus,Electric_Bus,Gasoline_PTW,Diesel_PTW,CNG_PTW,Electric_PTW
0,8327,7239,1059,668,4411,1441,255,818,278,48,153,52,68,216,74,0,0,0,0,0,0,75.56558783,1.951590595,0.234190871,0.716348548,1449.887226,0.906063205,0.086070189,3.245078745
1,8055,7003,1025,816,5388,1761,205,659,224,39,124,42,54,174,59,0,0,0,0,0,0,84.45565698,2.181189488,0.261742739,0.730124481,1226.250376,0.766308115,0.072794352,2.744543825
2,7352,6392,935,1156,7633,2494,166,532,181,31,100,34,44,141,48,0,0,0,0,0,0,88.90069156,2.295988935,0.275518672,0.730124481,1104.675982,0.690333871,0.065577287,2.472440949
3,7071,6147,899,1338,8836,2887,117,375,127,22,70,24,31,99,34,0,0,0,0,0,0,100.013278,2.582987552,0.309958506,0.730124481,1157.208128,0.723162248,0.068695772,2.590016266
4,6956,6048,885,1326,8758,2862,95,305,104,18,57,19,25,81,27,0,0,0,0,0,0,94.45698479,2.439488243,0.292738589,0.642876902,923.0648489,0.576841482,0.054796238,2.065966282
5,6383,5549,812,1272,8401,2745,68,218,74,13,41,14,18,58,20,0,0,0,0,0,0,82.2331397,2.123789765,0.254854772,0.551037344,748.9583083,0.468038861,0.044460688,1.676288089
6,5881,5113,748,1140,7530,2460,43,137,47,8,26,9,11,36,12,0,0,0,0,0,0,87.78943292,2.267289073,0.272074689,0.537261411,613.8756475,0.383623034,0.036441726,1.37395156
7,5124,4455,652,1020,6736,2201,37,118,40,7,22,8,10,31,11,0,0,0,0,0,0,93.34572614,2.410788382,0.289294606,0.486749654,555.3398278,0.347042843,0.032966843,1.242939064
8,4771,4148,607,936,6178,2019,33,106,36,6,20,7,9,28,10,0,0,0,0,0,0,81.12188105,2.095089903,0.251410788,0.422461964,519.3177849,0.324531955,0.030828453,1.162315989
9,5352,4653,681,865,5712,1866,30,95,32,6,18,6,8,25,9,0,0,0,0,0,0,80.01062241,2.066390041,0.247966805,0.399502075,501.3067635,0.313276512,0.029759258,1.122004452
10,5601,4869,712,732,4833,1579,20,63,22,4,12,4,5,17,6,0,0,0,0,0,0,85.56691563,2.20988935,0.265186722,0,532.826051,0.332973538,0.031630349,1.192549642
11,5351,4653,681,738,4871,1592,20,64,22,4,12,4,5,17,6,0,0,0,0,0,0,97.79076072,2.525587828,0.303070539,0,559.8425831,0.349856703,0.033234141,1.253016948
12,5869,5103,747,712,4702,1536,22,69,24,4,13,4,6,18,6,0,0,0,0,0,0,92.2344675,2.38208852,0.285850622,0,543.3324801,0.339539214,0.032254046,1.216064706
13,5244,4559,667,559,3690,1206,13,41,14,2,8,3,3,11,4,0,0,0,0,0,0,87.78943292,2.267289073,0.272074689,0,469.7874759,0.293579486,0.027888167,1.051459262
14,4569,3973,581,449,2968,970,9,29,10,2,5,2,2,8,3,0,0,0,0,0,0,76.67684647,1.980290456,0.237634855,0,450.275536,0.281386089,0.026729872,1.00778843
15,4042,3514,514,324,2141,700,5,16,5,1,3,1,1,4,1,0,0,0,0,0,0,61.11922545,1.578492393,0.189419087,0,414.2534932,0.258875201,0.024591483,0.927165356
