Parameter,Value_Gasoline_Small_Car,Value_Gasoline_Mid_Car,Value_Gasoline_Large_Car,Value_Diesel_Small_Car,Value_Diesel_Mid_Car,Value_Diesel_Large_Car,Value_HEV_Small_Car,Value_HEV_Mid_Car,Value_HEV_Large_Car,Value_BEV_Small_Car,Value_BEV_Mid_Car,Value_BEV_Large_Car,Value_PHEV_Small_Car,Value_PHEV_Mid_Car,Value_PHEV_Large_Car,Value_LPG_Small_Car,Value_LPG_Mid_Car,Value_LPG_Large_Car,Value_CNG_Small_Car,Value_CNG_Mid_Car,Value_CNG_Large_Car,Value_Diesel_Bus,Value_Gasoline_Bus,Value_CNG_Bus,Value_Electric_Bus,Value_Gasoline_PTW,Value_Diesel_PTW,Value_CNG_PTW,Value_Electric_PTW
Retirement_Parameter1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
Retirement_Parameter2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,25,25,25,25,25,25,25,25
Fuel_Efficiency_improvement_percentYear,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Utilisation_Change_PerYearOfAge_Percent,4,4,4,6.8,6.8,6.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
FastSim_use_Reference,1,2,6,8,8,7,10,10,11,18,20,22,12,12,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fuel_type,0,0,0,1,1,1,0,0,0,2,2,2,3,3,3,4,4,4,5,5,5,1,0,5,2,0,1,5,2
vehicle_class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2
simpleMethod_2018reference_gallonsgasoline_per_vkm_urban,0.015973,0.01731,0.02431,0,0,0,0.0101,0.0101,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0.011,0,0,0
simpleMethod_2018reference_gallonsdiesel_per_vkm_urban,0,0,0,0.01302,0.01302,0.01499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0.011,0,0
"simpleMethod_2018reference_kWhElectricity_per_vkm_urban																												",0,0,0,0,0,0,0,0,0,0.08,0.095,0.125,0.1,0.1,0.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07
simpleMethod_2018reference_gallonsLPG_per_vkm_urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248496,0.026536,0.032104,0,0,0,0,0,0,0,0,0,0,0
simpleMethod_2018reference_gallonsCNG_per_vkm_urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04908,0.0602,0.0602,0,0,0.455,0,0,0,0.008,0
simpleMethod_2018reference_gallonsgasoline_per_vkm_nonurban,0.0119,0.013,0.0186,0,0,0,0.0101,0.0101,0.0132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0.011,0,0,0
simpleMethod_2018reference_gallonsdiesel_per_vkm_nonurban,0,0,0,0.0104,0.0104,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0.011,0,0
"simpleMethod_2018reference_kWhElectricity_per_vkm_nonurban																												",0,0,0,0,0,0,0,0,0,0.08,0.095,0.125,0.1,0.1,0.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0.07
simpleMethod_2018reference_gallonsLPG_per_vkm_nonurban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0.01639,0.01975,0,0,0,0,0,0,0,0,0,0,0
simpleMethod_2018reference_kgCNG_per_vkm_nonurban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03398,0.041,0.041,0,0,0.455,0,0,0,0.008,0
EF_CO_Euro0,11.3,6.49,13.4,0.688,0.688,0.688,0.042,0.043,0.043,0,0,0,0.042,0.043,0.043,6.832,6.832,6.832,0.616,0.616,0.616,5.71,5.71,8.4,0,25.7,25.7,25.7,0
EF_CO_Euro1,4.88,3.92,3.41,0.414,0.414,0.414,0.042,0.043,0.043,0,0,0,0.042,0.043,0.043,3.57,3.57,3.57,0.616,0.616,0.616,2.71,2.71,8.4,0,13.8,13.8,13.8,0
EF_CO_Euro2,2.42,2.04,1.67,0.296,0.296,0.296,0.042,0.043,0.043,0,0,0,0.042,0.043,0.043,2.48,2.48,2.48,0.616,0.616,0.616,2.44,2.44,2.7,0,7.17,7.17,7.17,0
EF_CO_Euro3,2.07,1.82,1.5,0.089,0.089,0.089,0.042,0.043,0.043,0,0,0,0.042,0.043,0.043,1.79,1.79,1.79,0.616,0.616,0.616,2.67,2.67,1,0,3.03,3.03,3.03,0
EF_CO_Euro4,0.69,0.62,0.53,0.092,0.092,0.092,0.042,0.043,0.043,0,0,0,0.042,0.043,0.043,0.62,0.62,0.62,0.616,0.616,0.616,0.223,0.223,1,0,3.03,3.03,3.03,0
EF_CO_Euro5,0.69,0.62,0.53,0.049,0.04,0.04,0.042,0.043,0.043,0,0,0,0.042,0.043,0.043,0.62,0.62,0.62,0.616,0.616,0.616,0.223,0.223,1,0,3.03,3.03,3.03,0
EF_CO_Euro6,0.69,0.62,0.53,0.04,0.049,0.049,0.042,0.043,0.043,0,0,0,0.042,0.043,0.043,0.62,0.62,0.62,0.616,0.616,0.616,0.223,0.223,1,0,3.03,3.03,3.03,0
