Year;Trend;Value
2020;1;-0.07
2020;2;0.000
2020;3;-0.60
2020;4;-0.00
2020;6;0.000
2020;5;0.000
2020;7;-0.07
2020;8;0.013
2020;9;0.000
2020;10;0.00
2020;11;0.00
2021;1;0.014
2021;2;0.019
2021;3;0.500
2021;4;-0.00
2021;6;-0.00
2021;5;0.018
2021;7;0.000
2021;8;0.016
2021;9;0.000
2021;10;0.00
2021;11;0.00
2022;1;0.014
2022;2;0.019
2022;3;0.300
2022;4;-0.00
2022;6;-0.00
2022;5;0.005
2022;7;0.005
2022;8;0.010
2022;9;0.000
2022;10;0.00
2022;11;0.00
2023;1;0.014
2023;2;0.019
2023;3;0.280
2023;4;-0.00
2023;6;-0.00
2023;5;0.005
2023;7;0.005
2023;8;0.010
2023;9;0.000
2023;10;0.00
2023;11;0.00
2024;1;0.014
2024;2;0.009
2024;3;0.010
2024;4;-0.00
2024;6;-0.00
2024;5;0.005
2024;7;0.005
2024;8;0.010
2024;9;0.000
2024;10;0.00
2024;11;0.00
2025;1;0.014
2025;2;0.009
2025;3;0.010
2025;4;-0.00
2025;6;-0.00
2025;5;0.005
2025;7;0.005
2025;8;0.010
2025;9;0.000
2025;10;0.00
2025;11;0.00
2026;1;0.003
2026;2;0.009
2026;3;0.010
2026;4;-0.00
2026;6;0.006
2026;5;0.005
2026;7;0.005
2026;8;0.010
2026;9;0.000
2026;10;0.00
2026;11;0.00
2027;1;0.003
2027;2;0.004
2027;3;0.010
2027;4;-0.00
2027;6;0.006
2027;5;0.005
2027;7;0.005
2027;8;0.005
2027;9;0.000
2027;10;0.00
2027;11;0.00
2028;1;0.003
2028;2;0.004
2028;3;0.010
2028;4;-0.00
2028;6;0.006
2028;5;0.005
2028;7;0.005
2028;8;0.005
2028;9;0.000
2028;10;0.00
2028;11;0.00
2029;1;0.003
2029;2;0.002
2029;3;0.010
2029;4;-0.00
2029;6;0.006
2029;5;0.005
2029;7;0.005
2029;8;0.005
2029;9;0.000
2029;10;0.00
2029;11;0.00
2030;1;0.003
2030;2;0.002
2030;3;0.010
2030;4;-0.00
2030;6;0.006
2030;5;0.005
2030;7;0.005
2030;8;0.005
2030;9;0.000
2030;10;0.00
2030;11;0.00
